,pre-processado-sw-lemma,Toxic_predict,Toxic_predict_str
0,arab committing genocide iraq protest europe may europe also burn hell,1,Toxic
1,never think need say wikipedia isnot fansite discussion board anything unannounced authority might well false mmorpgs overrated,1,Toxic
2,arrogant self serving immature idiot get right,1,Toxic
3,tenth anniversary 9 11 new york time columnist paul krugman delivered odious piece dribble ever attack well least since last time wrote headline quote year shame end quote directed radical islam instead target america quote fake hero krugman claim atrocity ha hijacked sick word given actually talking real hijacker killed 3 000 american referring people like george bush rudy giuliani think capitalized horrible crime worst part end column creep writes going allow comment post obvious reason obvious reason coward mean else would ban response like 10 year old boy crank calling u hang even hears response hearing shame wickedness watch memorial service feel sorrow family whose grief never really end since lousy emotional reflection usually avoid least summarize many feel today nine word go hell paul krugman bearded bitter buffoon,1,Toxic
4,simple stupid,1,Toxic
5,please vandalize page edit indigenous language continue blocked editing,0,Non-Toxic
6,fucking braindead oroszka 50 syrian government sunni including first lady army,1,Toxic
7,hate eagle 247 since made comment every action undertake somebody fucking thinking trip ani would productive thought,1,Toxic
8,cite policy wasting fucking time cite policy strike bastard better good fucking idea complaint say wasting goddamn time opinion worthless matter policy guideline source donot give pile steaming dogshit manner sounding nonsense bullshit understanding community whole fuck lot ruder opinion jesus christ stop polite trolling learn fucking rule wikipedia rule simple complex,1,Toxic
9,wikipedia dickshits like u retarded wikpedia gay,1,Toxic
10,aww must caught something ϟ,1,Toxic
11,shut please consensus,1,Toxic
12,threatening block reason fucking bitch,1,Toxic
13,fuck islam fuck saud arabia,1,Toxic
14,luna santin fucker like gay nigger gay nigger lover,1,Toxic
15,someone please edit line lebanon operation u army center military history contingency operation fckin stupid hoee end article tl,0,Non-Toxic
16,nigga dont care fuck,1,Toxic
17,removed self project want personally thank genuine dedication wp tc find every article look personal conflict interest business related fed governed hurricane decided best interest project continue edit project still team doe great job,0,Non-Toxic
18,might dick trying look serious talking two girl shitting cup eating chocolate,1,Toxic
19,racist gringo donot revert edits carrington family page racist long live zapatistas 180px,1,Toxic
20,change duarte true wikipedia suck,1,Toxic
21,taken whole article fairly said rather self indulgent though reference self indulgent nature absurdly sweeping disproof one israeli mailing list issue within hour internet vile institution use wa awash story united state banned entry america critical article bush administration long ago interviewed bin laden wa horrible democracy would ever let stain front doormat rubbish followed round world australia launch book wa asked 10 radio television show four lecture felt banned united state must spent total two hour collectively explaining wa untrue simply travelled old passport wa longer valid entry u wa useless scotland university academic introducing audience announcing article must last got nose bush administration banned internet bullshit followed dublin cork belfast nothing seemed could switch message remember guy people dislike enough internet term fisking wa coined,0,Non-Toxic
22,shit country,1,Toxic
23,nicole oganesyan hot girl,1,Toxic
24,legend ha viking tried tow scandinavia vote nearer malta,1,Toxic
25,yes james carling dirty liar love joel,1,Toxic
26,hey asshole show respect,1,Toxic
27,sex plushies,1,Toxic
28,oh jesus fucking christ grow quit ur bellyaching wiki gofixit,1,Toxic
29,rr 2007 fix batista link note section dave bautista dave batista,0,Non-Toxic
30,unfortunately article ha featured prepare vandal troll invasion,1,Toxic
31,u wot u wot u wot u wot u wot u wot u wot u wot reverted need douchebag,1,Toxic
32,somewhere retarded backstory fire b h go fk fk,1,Toxic
33,guy bunch asshole,1,Toxic
34,put zara1709 wa german nationalist wouldnot ob german topic way ob indian topic beware,1,Toxic
35,may 2008 please stop disruptive editing vandalism continues blocked editing wikipedia rate reign retarded joke soon,1,Toxic
36,feel need post even though presumably everybody get want display another badass sig know,0,Non-Toxic
37,like general direction change going order screwed think pareto go first contrasted k h changing,1,Toxic
38,thanks finding sure link simply review lanix product help determine notability notability different existence know lanix exists simply mexican maker computer mobile isnot necessarily notable think good way determine notability would finding citation support uncited claim page make example someone added lanix ha seen sustained growth since 2005 lanix ha 3rd 4th largest market share latin america consumer electronics sector could find source support assertion would really help determine notability wp notability say significant coverage mean source address subject directly detail review lanix product single mention passing really canot considered significant coverage understand donot want rude gone trouble proof existence doesnot automatically mean topic deserves article,0,Non-Toxic
39,speedy deletion lid pot tag ha placed lid pot requesting speedily deleted wikipedia per csd a1 criterion speedy deletion article meet basic wikipedia criterion may deleted time please see guideline generally accepted appropriate article indicate subject article appropriate may contest tagging add top article leave note article talk page explaining position please remove speedy deletion tag donot hesitate add information article would confirm subject notability guideline think notice wa placed error may contest deletion add top page existing speedy deletion db tag leave note page talk page explaining position please remove speedy deletion tag,0,Non-Toxic
40,two people todd johnson private college consultant advises wealthier family admission one guy inside higher ed interviewed shaughnessy important,0,Non-Toxic
41,haha vandalism idiot,1,Toxic
42,deleted belmont blog real like 2nd grader erasing college professor phd thesis ball donot even know begin chutzpah belmont club 100 000 post best geo political social observation around bar none world history current event politics science community post well thought reasoned spirited sir disgrace,1,Toxic
43,admins must die prepare death banno,1,Toxic
44,image sal_2 jpg listed deletion image medium file uploaded altered image sal_2 jpg ha listed wikipedia image medium deletion please see discussion see may search title image find entry interested deleted,0,Non-Toxic
45,fuck hole sek,1,Toxic
46,fuck asshole pervert,1,Toxic
47,yeah sound like either small sample size psuedorandom number generator serious flaw,0,Non-Toxic
48,btw asked old hadnt noticed hadger even put wa one non participating contestant trying point finger hadger listen friend slap face comment saying rude comment fact wa defending response fact peeved could said change back start stupid argument ezekiel,0,Non-Toxic
49,adam gontier adam gointer wipe,0,Non-Toxic
50,sixty year later 2005 kode got smokin shit hell doe mean,1,Toxic
51,madblast asshole,1,Toxic
52,nonsense fat animal cute fuzzy become fat squishy soft fat human gross mostly hairless fat make smooth ball grotesque flab,1,Toxic
53,single edit islamofascism edit summary revert put proper vote involving multiple strategic block voting day see happens islamist fuck,1,Toxic
54,best gay porn http gay porn com,1,Toxic
55,wiki paper wikipedia summary style wish link first time around,1,Toxic
56,hay fuck head r u kind wikipedia cop yur fucking nazi pathetic get fucking life yur pathetic u try get power ppl ont internet make u happy aobut ur life thats sad wikipedia supposed freedom information u cant wrap ur facist little mind around u,1,Toxic
57,per orphanbot removed pic g ramachandran licencing wa nothing surprising orphanbot blank space suppose various us blank space considered better image extending following section cause heading edit section link even normal text formatted haphazardly way blank space write text place,0,Non-Toxic
58,nick schweikhart nick spends day every day playing stupid circle game,1,Toxic
59,crap play game,1,Toxic
60,idiot easy mistake make thank leaving message could easily wrong,1,Toxic
61,donot understand getting carville dissed beck beck dissed said like easy gateway founder best book founding country digestible mention book mention couple president ruined country would rather read leap also make fun left alot ha nothing book way date show cite episode without url video transcript would nice though,1,Toxic
62,disgusting shameful loathing wiki article love bear image roman eros statue corresponding image hate isnot time banned hollywood little mickey round tit,1,Toxic
63,perhaps could say something like,1,Toxic
64,hey dumb moron whoever said act jsut die cause hiliary great actress hating,1,Toxic
